seed,measurement_ratio,method,sample_id,rmse,mae,relative_l2,support_f1,m
7,0.3,ml_only_torch,14,0.4696918222549977,0.39048980089286695,0.6527932375283078,,38
7,0.3,hybrid_lfista_frozen,14,0.418623311814898,0.34738866735596674,0.5818165317685852,0.08955223880588327,38
7,0.3,hybrid_lfista_joint,14,0.41843878019463915,0.34728102705730124,0.5815600636162618,0.09090909090900273,38
7,0.3,ml_only_torch,15,0.48327593649981065,0.384468373735842,0.7203924115633185,,38
7,0.3,hybrid_lfista_frozen,15,0.42296154000515684,0.3370936503198387,0.6304851137626821,0.08955223880588327,38
7,0.3,hybrid_lfista_joint,15,0.42266585833199755,0.3367643761886207,0.6300443576283605,0.08955223880588327,38
7,0.3,ml_only_torch,16,0.3954954649144611,0.2999357563616625,0.5502869205728627,,38
7,0.3,hybrid_lfista_frozen,16,0.3369827453927291,0.2551607931440947,0.46887313180306844,0.08955223880588327,38
7,0.3,hybrid_lfista_joint,16,0.33678042269070635,0.25503317565606154,0.4685916227933957,0.07518796992472476,38
7,0.3,ml_only_torch,17,0.39100254732435513,0.3169477208863368,0.6395326301409321,,38
7,0.3,hybrid_lfista_frozen,17,0.317267888983528,0.25172684470563855,0.5189305514487585,0.08955223880588327,38
7,0.3,hybrid_lfista_joint,17,0.3170081149088377,0.2514040670150398,0.5185056590833099,0.08955223880588327,38
7,0.3,ml_only_torch,18,0.5709332461307536,0.45471090498878197,0.6568737091729485,,38
7,0.3,hybrid_lfista_frozen,18,0.4973093926704125,0.3957292833019993,0.5721675302389856,0.07575757575748783,38
7,0.3,hybrid_lfista_joint,18,0.4971682366749286,0.3954289077537497,0.5720051265552732,0.07518796992472476,38
7,0.3,ml_only_torch,19,0.3797877033841504,0.29446174534004677,0.5483483000015937,,38
7,0.3,hybrid_lfista_frozen,19,0.3195941590589534,0.256647617348519,0.4614391467886837,0.08955223880588327,38
7,0.3,hybrid_lfista_joint,19,0.3193720628766334,0.2565004536539147,0.46111847799681177,0.08955223880588327,38
7,0.3,ml_only_torch,20,0.6141922979711967,0.49652790537887925,0.7678196823745657,,38
7,0.3,hybrid_lfista_frozen,20,0.5348748404343174,0.42206015526311064,0.6686626182858512,0.08955223880588327,38
7,0.3,hybrid_lfista_joint,20,0.534763484081071,0.4217900382179633,0.6685234084649816,0.08955223880588327,38
7,0.3,ml_only_torch,21,0.4392039213198288,0.3386318962496637,0.7196140220324562,,38
7,0.3,hybrid_lfista_frozen,21,0.3762787725565342,0.29717464261981225,0.6165142608726035,0.08955223880588327,38
