measurement_ratio,method,rmse_mean,rmse_std_across_seeds,rmse_sem,mae_mean,mae_std_across_seeds,relative_l2_mean,relative_l2_std_across_seeds,support_f1_mean,support_f1_std_across_seeds,n_seeds,n_test_samples_per_run,rmse_ci95_half,bg_type,run_id
0.3,hybrid_lfista_joint,0.0512833590140463,0.0083657973676445,0.0048299953621954,0.0362882452021849,0.0059443471328018,0.7777035524893866,0.1235785328507647,0.6338962232763624,0.0380556914845433,3,385,0.009466790909903,shallow,prod_bg_shallow_dct
0.3,ml_only,0.0171679260496875,0.0003281624469694,0.0001894646770957,0.0137980133903988,0.0002613669422375,0.2294784880089471,0.0061311834848896,,,3,385,0.0003713507671076,shallow,prod_bg_shallow_dct
0.3,mlp_concat_ub,0.0845341647940781,0.0048396707068033,0.002794185185362,0.068702640884489,0.0038022514440746,1.112563486811932,0.0544833716343888,,,3,385,0.0054766029633096,shallow,prod_bg_shallow_dct
0.3,pca_regression_ub,0.076445372265919,0.0070805636028903,0.004087965302143,0.0615154405184012,0.0058481463241891,1.0289553054985177,0.0891516075023564,,,3,385,0.0080124119922003,shallow,prod_bg_shallow_dct
0.05,ae_regression_ub,0.0140867109693474,0.000182638377712,0.0001054463165363,0.0114218959015288,0.0001192572994732,0.1853156854556248,0.0034487849439527,,,3,385,0.0002066747804113,mlp2,prod_bg_mlp2_dct
0.05,hybrid_lfista_joint,0.0271343458406898,0.0016038132410326,0.00092596200644,0.0222510295364983,0.0013118557416482,0.365914755602823,0.0273137164668942,0.1297240926321111,0.0308405676761584,3,385,0.0018148855326225,mlp2,prod_bg_mlp2_dct
0.05,ml_only,0.0171679260496875,0.0003281624469694,0.0001894646770957,0.0137980133903988,0.0002613669422375,0.2294784880089471,0.0061311834848896,,,3,385,0.0003713507671076,mlp2,prod_bg_mlp2_dct
0.05,mlp_concat_ub,0.0748731611486173,0.0064215959002034,0.0037075101216094,0.0612596605369952,0.0050891273720515,0.9692061043595102,0.0980742563281051,,,3,385,0.0072667198383545,mlp2,prod_bg_mlp2_dct
0.05,pca_regression_ub,0.0798922351082739,0.0107996727061923,0.00623519394408,0.0646262166164517,0.0090544781446947,1.1023914977110292,0.1829429240109134,,,3,385,0.0122209801303968,mlp2,prod_bg_mlp2_dct
0.1,ae_regression_ub,0.0141036910768423,0.0003760817584322,0.0002171309044681,0.0115015719276133,0.0003303748514125,0.1856020280554479,0.0076678626330424,,,3,385,0.0004255765727576,mlp2,prod_bg_mlp2_dct
0.1,hybrid_lfista_joint,0.026269346281052,0.000896908658793,0.0005178304555926,0.0214342416731583,0.0007284328464998,0.3550657851508571,0.0197475250922393,0.1888758747631629,0.0368110510680656,3,385,0.0010149476929616,mlp2,prod_bg_mlp2_dct
0.1,ml_only,0.0171679260496875,0.0003281624469694,0.0001894646770957,0.0137980133903988,0.0002613669422375,0.2294784880089471,0.0061311834848896,,,3,385,0.0003713507671076,mlp2,prod_bg_mlp2_dct
0.1,mlp_concat_ub,0.0776605596206262,0.0122748224928833,0.007086872070521,0.0635050071488673,0.0095594204763237,1.0131201231144424,0.1861493011942266,,,3,385,0.0138902692582212,mlp2,prod_bg_mlp2_dct
0.1,pca_regression_ub,0.0849529291508398,0.0081185121384485,0.0046872251685525,0.0689803133031527,0.0071040203464612,1.1639141866411424,0.1400661668676751,,,3,385,0.0091869613303629,mlp2,prod_bg_mlp2_dct
