Depth(m),HFU,phi_input,alpha_hfu,matrix_k_gpa,matrix_g_gpa,matrix_rho_gcc,param_source,alpha,dem_k_gpa,dem_g_gpa,sc_k_gpa,sc_g_gpa,rho_gcc,vp_dem_m_s,vs_dem_m_s,vpvs_dem,vp_dem_km_s,vs_dem_km_s,vp_sc_m_s,vs_sc_m_s,vpvs_sc,vp_sc_km_s,vs_sc_km_s,vp_rel_diff_dem_sc,vpvs_rel_diff_dem_sc,kf_gpa,rho_fluid_gcc,sw,k_sat_gpa,g_sat_gpa,rho_sat_gcc,vp_dem_dry_km_s,vs_dem_dry_km_s,vpvs_dem_dry,status,error
5220.580000,1,0.165000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,0.180363,27.727315,17.812952,41.778007,21.198707,2.316147,4747.019043,2676.756699,1.773422,4.747019,2.676757,5499.195197,3025.322037,1.817722,5.499195,3.025322,0.166465,0.069264,2.200000,1.030000,1.000000,32.271583,17.812952,2.486097,4.714411,2.773224,1.699975,ok,
5220.770000,1,0.118000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,0.180363,35.571014,21.006653,49.465800,24.038928,2.446517,5136.774397,2860.066209,1.796033,5.136774,2.860066,5772.339074,3134.609248,1.841486,5.772339,3.134609,0.132312,0.058491,2.200000,1.030000,1.000000,39.753045,21.006653,2.568057,5.097835,2.930247,1.739728,ok,
5221.150000,1,0.074000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,0.180363,45.747704,24.518964,57.056793,26.676650,2.568566,5559.671363,3044.779272,1.825969,5.559671,3.044779,6005.101068,3222.703190,1.863374,6.005101,3.222703,0.086670,0.041797,2.200000,1.030000,1.000000,49.058229,24.518964,2.644786,5.526148,3.089625,1.788615,ok,
5221.720000,1,0.036000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,0.180363,55.857452,27.469464,63.917455,28.939532,2.673971,5913.974757,3183.143636,1.857904,5.913975,3.183144,6191.430238,3289.784084,1.882017,6.191430,3.289784,0.052780,0.025692,2.200000,1.030000,1.000000,58.193326,27.469464,2.711051,5.881032,3.205138,1.834876,ok,
5222.100000,1,0.043000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,0.180363,54.270675,27.036362,62.632483,28.523691,2.654554,5862.108952,3165.083784,1.852118,5.862109,3.165084,6158.024771,3277.985642,1.878600,6.158025,3.277986,0.055716,0.027824,2.200000,1.030000,1.000000,56.695471,27.036362,2.698844,5.833029,3.191379,1.827746,ok,
5222.860000,2,0.088000,0.150000,68.870627,30.086505,2.766349,m3_hier_joint_vp_vs,0.150000,37.735177,21.811050,53.154415,25.022932,2.522910,5224.198204,2888.835802,1.808410,5.224198,2.888836,5856.028021,3149.330185,1.859452,5.856028,3.149330,0.137921,0.062383,2.200000,1.030000,1.000000,42.248259,21.811050,2.613550,5.146254,2.940271,1.750265,ok,
5223.050000,1,0.094000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,0.180363,40.886386,22.918669,53.559278,25.480108,2.513089,5367.650225,2963.343579,1.811349,5.367650,2.963344,5901.757474,3184.173258,1.853466,5.901757,3.184173,0.106880,0.049771,2.200000,1.030000,1.000000,44.637611,22.918669,2.609909,5.331885,3.019887,1.765591,ok,
5223.430000,1,0.080000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,0.180363,44.476377,24.113017,55.999316,26.318101,2.551923,5511.510318,3025.459151,1.821710,5.511510,3.025459,5974.504239,3211.393446,1.860409,5.974504,3.211393,0.090296,0.043622,2.200000,1.030000,1.000000,47.871461,24.113017,2.634323,5.479707,3.073916,1.782647,ok,
5223.630000,1,0.075000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,0.180363,45.747704,24.518964,56.880058,26.616916,2.565792,5560.200627,3045.783550,1.825540,5.560201,3.045784,6000.025118,3220.832638,1.862880,6.000025,3.220833,0.085165,0.041521,2.200000,1.030000,1.000000,49.019883,24.518964,2.643042,5.529134,3.091294,1.788615,ok,
5224.390000,2,0.071000,0.150000,68.870627,30.086505,2.766349,m3_hier_joint_vp_vs,0.150000,41.553999,23.082686,56.073524,26.006623,2.569938,5382.836587,2955.214355,1.821471,5.382837,2.955214,5942.369265,3181.124325,1.868009,5.942369,3.181124,0.120106,0.055262,2.200000,1.030000,1.000000,45.805801,23.082686,2.643068,5.305186,2.996966,1.770186,ok,
5224.770000,2,0.081000,0.150000,68.870627,30.086505,2.766349,m3_hier_joint_vp_vs,0.150000,38.962839,22.230088,54.349603,25.428317,2.542275,5276.326479,2909.696225,1.813360,5.276326,2.909696,5891.908899,3162.624055,1.862981,5.891909,3.162624,0.134216,0.060493,2.200000,1.030000,1.000000,43.458507,22.230088,2.625705,5.194696,2.957055,1.756713,ok,
5224.960000,1,0.084000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,0.180363,43.243333,23.710982,55.298245,26.078872,2.540827,5462.744215,3004.111351,1.818423,5.462744,3.004111,5953.915720,3203.736769,1.858429,5.953916,3.203737,0.096911,0.045928,2.200000,1.030000,1.000000,46.789539,23.710982,2.627347,5.427895,3.054831,1.776823,ok,
5225.150000,1,0.084000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,0.180363,43.243333,23.710982,55.298245,26.078872,2.540827,5462.744215,3004.111351,1.818423,5.462744,3.004111,5953.915720,3203.736769,1.858429,5.953916,3.203737,0.096911,0.045928,2.200000,1.030000,1.000000,46.789539,23.710982,2.627347,5.427895,3.054831,1.776823,ok,
5225.340000,2,0.088000,0.150000,68.870627,30.086505,2.766349,m3_hier_joint_vp_vs,0.150000,37.735177,21.811050,53.154415,25.022932,2.522910,5224.198204,2888.835802,1.808410,5.224198,2.888836,5856.028021,3149.330185,1.859452,5.856028,3.149330,0.137921,0.062383,2.200000,1.030000,1.000000,42.248259,21.811050,2.613550,5.146254,2.940271,1.750265,ok,
5225.530000,2,0.100000,0.150000,68.870627,30.086505,2.766349,m3_hier_joint_vp_vs,0.150000,35.405839,20.987513,51.127682,24.326872,2.489714,5121.771278,2845.136950,1.800184,5.121771,2.845137,5793.401141,3125.851896,1.853383,5.793401,3.125852,0.148156,0.066444,2.200000,1.030000,1.000000,40.030128,20.987513,2.592714,5.045833,2.903393,1.737909,ok,
