Depth(m),HFU,phi_input,alpha_hfu,matrix_k_gpa,matrix_g_gpa,matrix_rho_gcc,param_source,alpha,dem_k_gpa,dem_g_gpa,sc_k_gpa,sc_g_gpa,rho_gcc,vp_dem_m_s,vs_dem_m_s,vpvs_dem,vp_dem_km_s,vs_dem_km_s,vp_sc_m_s,vs_sc_m_s,vpvs_sc,vp_sc_km_s,vs_sc_km_s,vp_rel_diff_dem_sc,vpvs_rel_diff_dem_sc,kf_gpa,rho_fluid_gcc,sw,k_sat_gpa,g_sat_gpa,rho_sat_gcc,vp_dem_dry_km_s,vs_dem_dry_km_s,vpvs_dem_dry,status,error
5221.720000,1,0.036000,0.168170,69.858997,30.711901,2.773829,m3_hier_joint_vp_vs,0.168170,54.450060,27.012073,63.178123,28.604789,2.673971,5857.784152,3156.531299,1.855766,5.857784,3.156531,6155.518015,3270.702312,1.882017,6.155518,3.270702,0.058278,0.028394,2.200000,1.030000,1.000000,57.009923,27.012073,2.711051,5.816540,3.178342,1.830055,ok,
5222.100000,1,0.043000,0.168170,69.858997,30.711901,2.773829,m3_hier_joint_vp_vs,0.168170,52.818926,26.568154,61.908014,28.193758,2.654554,5803.435609,3137.558030,1.849666,5.803436,3.137558,6122.306310,3258.972305,1.878600,6.122306,3.258972,0.061868,0.030800,2.200000,1.030000,1.000000,55.472508,26.568154,2.698844,5.765602,3.163624,1.822467,ok,
5222.860000,2,0.088000,0.167236,69.146581,30.207057,2.766349,m3_hier_joint_vp_vs,0.167236,39.793837,22.369772,53.367397,25.123195,2.522910,5308.005381,2925.602734,1.814329,5.308005,2.925603,5867.748413,3155.633329,1.859452,5.867748,3.155633,0.117004,0.054018,2.200000,1.030000,1.000000,43.810210,22.369772,2.613550,5.253113,2.977693,1.764155,ok,
5223.050000,1,0.094000,0.168170,69.858997,30.711901,2.773829,m3_hier_joint_vp_vs,0.168170,39.211178,22.360176,52.939759,25.185380,2.513089,5290.976558,2927.014831,1.807636,5.290977,2.927015,5867.525443,3165.704061,1.853466,5.867525,3.165704,0.119584,0.054921,2.200000,1.030000,1.000000,43.249356,22.360176,2.609909,5.240811,2.982865,1.756972,ok,
5223.430000,1,0.080000,0.168170,69.858997,30.711901,2.773829,m3_hier_joint_vp_vs,0.168170,42.834099,23.578183,55.351573,26.013680,2.551923,5439.458810,2991.718200,1.818172,5.439459,2.991718,5939.850254,3192.766364,1.860409,5.939850,3.192766,0.101026,0.048219,2.200000,1.030000,1.000000,46.506004,23.578183,2.634323,5.394831,3.039635,1.774829,ok,
5223.630000,1,0.075000,0.168170,69.858997,30.711901,2.773829,m3_hier_joint_vp_vs,0.168170,44.121921,23.992669,56.222127,26.309039,2.565792,5489.837346,3012.917634,1.822100,5.489837,3.012918,5965.223104,3202.150806,1.862880,5.965223,3.202151,0.095243,0.045917,2.200000,1.030000,1.000000,47.666600,23.992669,2.643042,5.446485,3.057937,1.781098,ok,
5224.390000,2,0.071000,0.167236,69.146581,30.207057,2.766349,m3_hier_joint_vp_vs,0.167236,43.507667,23.582875,56.298203,26.110828,2.569938,5456.984742,2987.061643,1.826874,5.456985,2.987062,5954.262462,3187.491102,1.868009,5.954262,3.187491,0.102552,0.047821,2.200000,1.030000,1.000000,47.263256,23.582875,2.643068,5.400436,3.029263,1.782756,ok,
5224.770000,2,0.081000,0.167236,69.146581,30.207057,2.766349,m3_hier_joint_vp_vs,0.167236,40.991612,22.769948,54.567374,25.530205,2.542275,5356.720852,2944.815396,1.819035,5.356721,2.944815,5903.701104,3168.953806,1.862981,5.903701,3.168954,0.114382,0.052417,2.200000,1.030000,1.000000,44.983244,22.769948,2.625705,5.297738,2.992745,1.770193,ok,
5224.960000,1,0.084000,0.168170,69.858997,30.711901,2.773829,m3_hier_joint_vp_vs,0.168170,41.587457,23.167936,54.658611,25.777219,2.540827,5389.192299,2969.510899,1.814842,5.389192,2.969511,5919.381155,3185.154099,1.858429,5.919381,3.185154,0.108309,0.050718,2.200000,1.030000,1.000000,45.416503,23.167936,2.627347,5.340915,3.019646,1.768722,ok,
5225.150000,1,0.084000,0.168170,69.858997,30.711901,2.773829,m3_hier_joint_vp_vs,0.168170,41.587457,23.167936,54.658611,25.777219,2.540827,5389.192299,2969.510899,1.814842,5.389192,2.969511,5919.381155,3185.154099,1.858429,5.919381,3.185154,0.108309,0.050718,2.200000,1.030000,1.000000,45.416503,23.167936,2.627347,5.340915,3.019646,1.768722,ok,
